,OWL City,Location,Team Name
0,Atlanta,United States,Atlanta Reign
1,Boston,United States,Boston Uprising
2,Dallas,United States,Dallas Fuel
3,Miami-Orlando,United States,Florida Mayhem
4,Guangzhou,China,Guangzhou Charge
5,Hangzhou,China,Hangzhou Spark
6,Houston,United States,Houston Outlaws
7,London,United Kingdom,London Spitfire
8,Los Angeles,United States,Los Angeles Gladiators
9,Los Angeles,United States,Los Angeles Valiant
10,New York,United States,New York Excelsior
11,Paris,France,Paris Eternal
12,Philadelphia,United States,Philadelphia Fusion
13,San Francisco,United States,San Francisco Shock
14,Seoul,South Korea,Seoul Dynasty
15,Shanghai,China,Shanghai Dragons
16,Toronto,Canada,Toronto Defiant
17,Vancouver,Canada,Vancouver Titans
18,Washington,United States,Washington Justice
19,Atlanta,United States,Atlanta Reign
20,Boston,United States,Boston Uprising
21,Chengdu,China,Chengdu_Hunters
22,Dallas,United States,Dallas Fuel
23,Miami-Orlando,United States,Florida Mayhem
24,Guangzhou,China,Guangzhou Charge
25,Hangzhou,China,Hangzhou Spark
26,Houston,United States,Houston Outlaws
27,London,United Kingdom,London Spitfire
28,Los Angeles,United States,Los Angeles Gladiators
29,Los Angeles,United States,Los Angeles Valiant
30,New York,United States,New York Excelsior
31,Paris,France,Paris Eternal
32,Philadelphia,United States,Philadelphia Fusion
33,San Francisco,United States,San Francisco Shock
34,Seoul,South Korea,Seoul Dynasty
35,Shanghai,China,Shanghai Dragons
36,Toronto,Canada,Toronto Defiant
37,Vancouver,Canada,Vancouver Titans
38,Washington,United States,Washington Justice
